ukb_field	modality	region	side	measurement_type	dmri_measure	t1_anatomy_group	notes	ukb_link	subtype
25373	dMRI	posterior thalamic radiation	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25373	ICVF
25374	dMRI	sagittal stratum	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in sagittal stratum (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25374	ICVF
25375	dMRI	sagittal stratum	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25375	ICVF
25376	dMRI	external capsule	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in external capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25376	ICVF
25377	dMRI	external capsule	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in external capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25377	ICVF
25378	dMRI	cingulum cingulate gyrus	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in cingulum cingulate gyrus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25378	ICVF
25379	dMRI	cingulum cingulate gyrus	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in cingulum cingulate gyrus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25379	ICVF
25380	dMRI	cingulum hippocampus	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in cingulum hippocampus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25380	ICVF
25381	dMRI	cingulum hippocampus	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in cingulum hippocampus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25381	ICVF
25382	dMRI	fornix cres+stria terminalis	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in fornix cres+stria terminalis (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25382	ICVF
25383	dMRI	fornix cres+stria terminalis	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25383	ICVF
25384	dMRI	superior longitudinal fasciculus	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in superior longitudinal fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25384	ICVF
25385	dMRI	superior longitudinal fasciculus	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25385	ICVF
25386	dMRI	superior fronto-occipital fasciculus	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25386	ICVF
25387	dMRI	superior fronto-occipital fasciculus	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in superior fronto-occipital fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25387	ICVF
25388	dMRI	uncinate fasciculus	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in uncinate fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25388	ICVF
25389	dMRI	uncinate fasciculus	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in uncinate fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25389	ICVF
25390	dMRI	tapetum	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in tapetum (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25390	ICVF
25391	dMRI	tapetum	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25391	ICVF
25392	dMRI	middle cerebellar peduncle	NA	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25392	OD
25393	dMRI	pontine crossing tract	NA	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25393	OD
25394	dMRI	genu of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25394	OD
25395	dMRI	body of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25395	OD
25396	dMRI	splenium of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25396	OD
25397	dMRI	fornix	NA	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in fornix on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25397	OD
25398	dMRI	corticospinal tract	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25398	OD
25399	dMRI	corticospinal tract	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25399	OD
25400	dMRI	medial lemniscus	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25400	OD
25401	dMRI	medial lemniscus	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25401	OD
25402	dMRI	inferior cerebellar peduncle	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25402	OD
25403	dMRI	inferior cerebellar peduncle	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25403	OD
25404	dMRI	superior cerebellar peduncle	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in superior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25404	OD
25405	dMRI	superior cerebellar peduncle	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in superior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25405	OD
25406	dMRI	cerebral peduncle	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25406	OD
25407	dMRI	cerebral peduncle	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in cerebral peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25407	OD
25408	dMRI	anterior limb of internal capsule	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in anterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25408	OD
25409	dMRI	anterior limb of internal capsule	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in anterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25409	OD
25410	dMRI	posterior limb of internal capsule	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25410	OD
25411	dMRI	posterior limb of internal capsule	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in posterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25411	OD
25412	dMRI	retrolenticular part of internal capsule	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in retrolenticular part of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25412	OD
25413	dMRI	retrolenticular part of internal capsule	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in retrolenticular part of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25413	OD
25414	dMRI	anterior corona radiata	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in anterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25414	OD
25415	dMRI	anterior corona radiata	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in anterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25415	OD
25416	dMRI	superior corona radiata	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25416	OD
25417	dMRI	superior corona radiata	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in superior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25417	OD
25418	dMRI	posterior corona radiata	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in posterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25418	OD
25419	dMRI	posterior corona radiata	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25419	OD
25420	dMRI	posterior thalamic radiation	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in posterior thalamic radiation (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25420	OD
25421	dMRI	posterior thalamic radiation	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25421	OD
25422	dMRI	sagittal stratum	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in sagittal stratum (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25422	OD
25423	dMRI	sagittal stratum	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25423	OD
25424	dMRI	external capsule	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in external capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25424	OD
25425	dMRI	external capsule	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in external capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25425	OD
25426	dMRI	cingulum cingulate gyrus	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in cingulum cingulate gyrus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25426	OD
25427	dMRI	cingulum cingulate gyrus	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in cingulum cingulate gyrus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25427	OD
25428	dMRI	cingulum hippocampus	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in cingulum hippocampus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25428	OD
25429	dMRI	cingulum hippocampus	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in cingulum hippocampus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25429	OD
25430	dMRI	fornix cres+stria terminalis	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in fornix cres+stria terminalis (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25430	OD
25431	dMRI	fornix cres+stria terminalis	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25431	OD
25432	dMRI	superior longitudinal fasciculus	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in superior longitudinal fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25432	OD
25433	dMRI	superior longitudinal fasciculus	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25433	OD
25434	dMRI	superior fronto-occipital fasciculus	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25434	OD
25435	dMRI	superior fronto-occipital fasciculus	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in superior fronto-occipital fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25435	OD
25436	dMRI	uncinate fasciculus	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in uncinate fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25436	OD
25437	dMRI	uncinate fasciculus	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in uncinate fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25437	OD
25438	dMRI	tapetum	right	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in tapetum (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25438	OD
25439	dMRI	tapetum	left	dMRI skeleton (TBSS-style measurement)	OD	NA	Mean OD (orientation dispersion index) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25439	OD
25440	dMRI	middle cerebellar peduncle	NA	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25440	ISOVF
25441	dMRI	pontine crossing tract	NA	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25441	ISOVF
25442	dMRI	genu of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25442	ISOVF
25443	dMRI	body of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25443	ISOVF
25444	dMRI	splenium of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25444	ISOVF
25445	dMRI	fornix	NA	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in fornix on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25445	ISOVF
25446	dMRI	corticospinal tract	right	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25446	ISOVF
25447	dMRI	corticospinal tract	left	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25447	ISOVF
25448	dMRI	medial lemniscus	right	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25448	ISOVF
25449	dMRI	medial lemniscus	left	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25449	ISOVF
25450	dMRI	inferior cerebellar peduncle	right	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25450	ISOVF
25451	dMRI	inferior cerebellar peduncle	left	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25451	ISOVF
25452	dMRI	superior cerebellar peduncle	right	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in superior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25452	ISOVF
25453	dMRI	superior cerebellar peduncle	left	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in superior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25453	ISOVF
25454	dMRI	cerebral peduncle	right	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25454	ISOVF
25455	dMRI	cerebral peduncle	left	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in cerebral peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25455	ISOVF
25456	dMRI	anterior limb of internal capsule	right	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in anterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI da	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25456	ISOVF
25457	dMRI	anterior limb of internal capsule	left	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in anterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI dat	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25457	ISOVF
25458	dMRI	posterior limb of internal capsule	right	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI d	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25458	ISOVF
25459	dMRI	posterior limb of internal capsule	left	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in posterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI da	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25459	ISOVF
25460	dMRI	retrolenticular part of internal capsule	right	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in retrolenticular part of internal capsule (right) on FA (fractional anisotropy) skeleton (from	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25460	ISOVF
25461	dMRI	retrolenticular part of internal capsule	left	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in retrolenticular part of internal capsule (left) on FA (fractional anisotropy) skeleton (from d	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25461	ISOVF
25462	dMRI	anterior corona radiata	right	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in anterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25462	ISOVF
25463	dMRI	anterior corona radiata	left	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in anterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25463	ISOVF
25464	dMRI	superior corona radiata	right	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25464	ISOVF
25465	dMRI	superior corona radiata	left	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in superior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25465	ISOVF
25466	dMRI	posterior corona radiata	right	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in posterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25466	ISOVF
25467	dMRI	posterior corona radiata	left	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25467	ISOVF
25468	dMRI	posterior thalamic radiation	right	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in posterior thalamic radiation (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25468	ISOVF
25469	dMRI	posterior thalamic radiation	left	dMRI skeleton (TBSS-style measurement)	ISOVF	NA	Mean ISOVF (isotropic or free water volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25469	ISOVF
